"2.2.508.1","x^2 - 127","508","1","[]"
"2.2.509.1","x^2 - x - 127","509","1","[]"
"2.2.517.1","x^2 - x - 129","517","1","[]"
"2.2.521.1","x^2 - x - 130","521","1","[]"
"2.2.524.1","x^2 - 131","524","1","[]"
"2.2.536.1","x^2 - 134","536","1","[]"
"2.2.537.1","x^2 - x - 134","537","1","[]"
"2.2.541.1","x^2 - x - 135","541","1","[]"
"2.2.553.1","x^2 - x - 138","553","1","[]"
"2.2.556.1","x^2 - 139","556","1","[]"
"2.2.557.1","x^2 - x - 139","557","1","[]"
"2.2.569.1","x^2 - x - 142","569","1","[]"
"2.2.573.1","x^2 - x - 143","573","1","[]"
"2.2.581.1","x^2 - x - 145","581","1","[]"
"2.2.589.1","x^2 - x - 147","589","1","[]"
"2.2.593.1","x^2 - x - 148","593","1","[]"
"2.2.597.1","x^2 - x - 149","597","1","[]"
"2.2.601.1","x^2 - x - 150","601","1","[]"
"2.2.604.1","x^2 - 151","604","1","[]"
"2.2.613.1","x^2 - x - 153","613","1","[]"
"2.2.617.1","x^2 - x - 154","617","1","[]"
"2.2.632.1","x^2 - 158","632","1","[]"
"2.2.633.1","x^2 - x - 158","633","1","[]"
"2.2.641.1","x^2 - x - 160","641","1","[]"
"2.2.649.1","x^2 - x - 162","649","1","[]"
"2.2.652.1","x^2 - 163","652","1","[]"
"2.2.653.1","x^2 - x - 163","653","1","[]"
"2.2.661.1","x^2 - x - 165","661","1","[]"
"2.2.664.1","x^2 - 166","664","1","[]"
"2.2.668.1","x^2 - 167","668","1","[]"
"2.2.669.1","x^2 - x - 167","669","1","[]"
"2.2.673.1","x^2 - x - 168","673","1","[]"
"2.2.677.1","x^2 - x - 169","677","1","[]"
"2.2.681.1","x^2 - x - 170","681","1","[]"
"2.2.701.1","x^2 - x - 175","701","1","[]"
"2.2.709.1","x^2 - x - 177","709","1","[]"
"2.2.713.1","x^2 - x - 178","713","1","[]"
"2.2.716.1","x^2 - 179","716","1","[]"
"2.2.717.1","x^2 - x - 179","717","1","[]"
"2.2.721.1","x^2 - x - 180","721","1","[]"
"2.2.737.1","x^2 - x - 184","737","1","[]"
"2.2.749.1","x^2 - x - 187","749","1","[]"
"2.2.753.1","x^2 - x - 188","753","1","[]"
"2.2.757.1","x^2 - x - 189","757","1","[]"
"2.2.764.1","x^2 - 191","764","1","[]"
"2.2.769.1","x^2 - x - 192","769","1","[]"
"2.2.773.1","x^2 - x - 193","773","1","[]"
"2.2.781.1","x^2 - x - 195","781","1","[]"
"2.2.789.1","x^2 - x - 197","789","1","[]"
"2.2.796.1","x^2 - 199","796","1","[]"
"2.2.797.1","x^2 - x - 199","797","1","[]"
"2.2.809.1","x^2 - x - 202","809","1","[]"
"2.2.813.1","x^2 - x - 203","813","1","[]"
"2.2.821.1","x^2 - x - 205","821","1","[]"
"2.2.824.1","x^2 - 206","824","1","[]"
"2.2.829.1","x^2 - x - 207","829","1","[]"
"2.2.844.1","x^2 - 211","844","1","[]"
"2.2.849.1","x^2 - x - 212","849","1","[]"
"2.2.853.1","x^2 - x - 213","853","1","[]"
"2.2.856.1","x^2 - 214","856","1","[]"
"2.2.857.1","x^2 - x - 214","857","1","[]"
"2.2.869.1","x^2 - x - 217","869","1","[]"
"2.2.877.1","x^2 - x - 219","877","1","[]"
"2.2.881.1","x^2 - x - 220","881","1","[]"
"2.2.889.1","x^2 - x - 222","889","1","[]"
"2.2.893.1","x^2 - x - 223","893","1","[]"
"2.2.908.1","x^2 - 227","908","1","[]"
"2.2.913.1","x^2 - x - 228","913","1","[]"
"2.2.917.1","x^2 - x - 229","917","1","[]"
"2.2.921.1","x^2 - x - 230","921","1","[]"
"2.2.929.1","x^2 - x - 232","929","1","[]"
"2.2.933.1","x^2 - x - 233","933","1","[]"
"2.2.937.1","x^2 - x - 234","937","1","[]"
"2.2.941.1","x^2 - x - 235","941","1","[]"
"2.2.953.1","x^2 - x - 238","953","1","[]"
